SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3583;23.0;225.0;0.0;0;0;0;2;16:52;35.58;37.33;45.67;118.58;0.0;0.0;0.0;9.02;120.17;120.17;;;;;;TES;GSA - E;;BERÇO ARM 38;7;15:30;7;16:35;8;00:51;12;17:30;;;;;;
2SemDragagem2030;3584;23.0;225.0;0.0;0;0;0;2;15:46;0.0;0.08;0.0;0.08;0.0;3.75;3.75;2.15;117.0;113.25;;;;;;TES;GSA - E;;BERÇO ARM 38;2;15:55;2;17:00;2;18:24;7;11:00;7;14:00;7;14:40
2SemDragagem2030;3585;23.0;225.0;0.0;0;0;0;2;17:49;0.17;1.08;0.0;1.25;0.0;0.33;0.33;1.8;63.92;63.58;;;;;;TGRAO;GSA - E;;BERÇO OUT 2;2;19:05;2;20:25;2;21:28;5;12:45;5;12:20;5;13:15
2SemDragagem2030;3586;23.0;225.0;13.25;0;0;0;2;17:50;0.0;1.92;0.0;1.92;0.0;0.58;0.58;5.0;110.08;109.5;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 4;2;19:45;2;21:45;3;02:00;7;12:00;7;11:50;7;14:15
2SemDragagem2030;3587;23.0;165.0;9.75;0;0;0;2;18:53;0.0;1.08;0.0;1.08;0.0;1.5;1.5;0.75;43.83;42.33;;;;;;VOPAK;GL;;BERÇO AL 04;2;20:00;2;21:35;2;21:35;4;16:40;4;17:25;4;19:15
2SemDragagem2030;3588;23.0;225.0;0.0;0;0;0;2;19:55;0.0;0.83;0.0;0.83;0.0;0.0;0.0;1.1;56.25;56.25;;;;;;XXXIX;GSA - E;;BERÇO ARM 37;2;20:45;2;21:50;2;22:11;5;06:50;5;06:05;5;06:45
2SemDragagem2030;3589;36.0;225.0;0.0;0;0;0;3;21:04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4;106.42;106.42;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 2;3;21:05;3;23:15;4;05:54;8;10:25;8;09:40;8;11:25
2SemDragagem2030;3590;23.0;185.0;11.75;0;0;0;3;21:56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.16;65.58;65.58;;;;;;AGEO_TERMINAIS;GL;;BERÇO IB OE;3;22:00;3;23:25;3;23:49;6;17:45;6;17:00;6;18:40
2SemDragagem2030;3591;23.0;295.0;14.5;0;0;0;3;23:52;23.25;5.67;6.58;35.5;0.0;0.5;0.5;1.87;23.08;22.58;;;;;;BTP;CGC;;BERÇO BTP 2;5;11:25;5;13:15;5;14:22;6;12:35;6;12:20;6;14:05
2SemDragagem2030;3592;23.0;225.0;0.0;0;0;0;3;20:58;4.58;4.92;0.0;9.5;2.17;0.75;2.92;17.01;88.92;86.0;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;4;06:30;4;08:00;5;00:15;7;22:45;8;00:55;8;02:00
