SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;201;19.0;88.8;5.0;0;0;0;6;08:20;11.0;0.0;9.08;20.08;SAIPEM;BERÇO SAIPEM 1;7;04:25;7;05:15;7;05:15;7;23:55;8;05:50;8;06:20
S002;202;25.0;182.47;7.5;0;0;0;6;17:00;3.92;0.0;5.0;8.92;SANTOSBR;BERÇO TECON 1.2;7;01:55;7;02:45;7;02:45;7;11:10;7;11:35;7;12:45
S002;203;40.0;275.0;13.3;0;0;0;6;03:43;0.05;0.0;0.37;0.42;SANTOSBR;BERÇO TECON 1.2;6;04:10;6;05:00;6;05:00;6;16:25;6;22:05;6;23:15
S002;204;37.0;254.73;10.8;0;0;0;6;23:50;0.17;0.0;3.17;3.33;SANTOSBR;BERÇO TECON 1.1;7;03:10;7;04:00;7;04:00;7;11:05;7;11:05;7;12:15
S002;205;35.0;185.97;8.35;0;0;0;6;17:00;3.92;0.0;4.08;8.0;SANTOSBR;BERÇO TECON 2;7;01:00;7;01:50;7;01:50;7;08:35;7;08:45;7;09:55
S002;206;25.0;160.0;6.8;0;0;0;7;22:20;0.08;0.0;4.67;4.75;AGEO_NORTE;BERÇO IB BC;8;03:05;8;04:45;8;04:45;11;22:50;;;;;;
S002;207;22.0;119.9;7.6;0;0;0;7;15:00;0.08;0.0;0.25;0.33;AGEO_NORTE;BERÇO Ageo I;7;15:20;7;17:00;7;17:00;9;17:20;9;14:45;9;16:05
S002;208;32.0;199.9;6.4;0;0;0;7;17:45;102.25;3.42;0.0;105.67;AUTORIDADE_PONTA;BERÇO ARM 37;12;03:25;12;04:25;12;04:25;15;14:20;15;17:20;15;18:00
S002;209;32.0;179.95;10.97;0;0;0;7;23:30;168.5;0.0;2.5;171.0;OUTROS_OUT;BERÇO ARM 22/23;15;02:30;15;03:30;15;03:30;17;11:10;17;11:10;17;12:30
S002;210;28.0;177.85;10.16;0;0;0;7;14:30;0.08;0.0;0.33;0.42;OUTROS_PAQUETA;BERÇO ARM 13/14;7;14:55;7;16:00;7;16:00;20;07:55;20;03:20;20;04:45
S002;211;30.0;179.97;10.46;0;0;0;7;14:00;0.08;0.0;0.0;0.08;OUTROS_SABOO;BERÇO CS 01;7;14:05;7;15:25;7;15:25;11;11:20;11;07:00;11;08:40
S002;212;32.0;183.1;9.8;0;0;0;7;22:52;0.03;0.0;2.13;2.17;OUTROS_ALAMOA;BERÇO AL 03;8;01:05;8;02:35;8;02:35;10;15:00;10;13:15;10;15:05
S002;213;32.0;183.06;9.5;0;0;0;7;10:00;254.0;0.0;0.0;254.0;TRANSPETRO;BERÇO AL 01;18;00:00;18;01:50;18;01:50;20;08:20;20;08:15;20;09:45
S002;214;18.0;85.34;5.0;0;0;0;7;09:05;0.08;0.0;0.0;0.08;SAIPEM;BERÇO SAIPEM 2;7;09:10;7;10:00;7;10:00;10;10:05;10;05:45;10;06:15
S002;215;43.0;270.93;10.0;0;0;0;7;21:00;0.08;0.0;0.08;0.17;SANTOSBR;BERÇO TECON 1.2;7;21:10;7;22:20;7;22:20;8;08:10;8;07:05;8;07:55
S002;216;17.0;82.3;4.4;0;0;0;7;22:40;0.08;0.0;0.0;0.08;SAIPEM;BERÇO SAIPEM 3;7;22:45;7;23:35;7;23:35;8;17:45;8;17:45;8;18:35
S002;217;32.0;199.94;7.6;0;0;1;7;06:30;0.08;0.0;0.58;0.67;TEV;BERÇO TEV;7;07:10;7;08:25;7;08:25;9;00:25;9;23:55;10;00:50
S002;218;32.0;229.0;8.98;0;0;0;7;00:01;3.25;0.0;0.25;3.5;TGRAO;BERÇO ARM 19;7;03:35;7;04:55;7;04:55;9;10:25;;;;;;
S002;220;27.0;169.37;5.33;0;0;0;7;00:01;0.02;0.0;2.23;2.25;USIMINAS;BERÇO USIMINAS 1;7;02:20;7;04:35;7;04:35;11;18:15;;;;;;
S002;222;33.0;183.1;9.6;0;0;0;8;03:48;0.05;0.0;2.62;2.67;AGEO_TERMINAIS;BERÇO IB SP;8;06:30;8;07:50;8;07:50;10;19:05;10;16:45;10;18:25
S002;223;32.0;189.97;6.73;0;0;0;8;17:45;28.58;0.0;0.0;28.58;AUTORIDADE_OUT;BERÇO ARM 20/21;9;22:20;9;23:40;9;23:40;10;19:30;10;19:35;10;20:35
S002;224;40.0;300.4;11.5;0;0;0;8;15:00;0.08;0.0;0.17;0.25;BTP;BERÇO BTP 1;8;15:15;8;16:40;8;16:40;9;03:10;9;04:00;9;05:45
S002;225;48.0;299.99;10.6;1;0;0;8;02:18;1.33;0.0;0.33;1.67;BTP;BERÇO BTP 2;8;04:00;8;05:50;8;05:50;8;21:35;8;21:35;8;23:05
S002;226;43.0;270.93;10.9;0;0;0;8;19:01;125.67;14.17;0.0;139.83;DPW;BERÇO DPW 1;14;14:55;14;16:30;14;16:30;15;12:40;15;13:05;15;14:20
S002;227;51.0;336.0;13.3;1;0;0;8;07:00;8.75;1.25;0.0;10.0;DPW;BERÇO DPW 1;8;17:00;8;18:20;8;18:20;11;21:10;11;18:20;11;20:00
S002;228;35.0;185.97;9.45;0;0;0;8;02:00;0.08;0.0;0.0;0.08;DPW;BERÇO DPW 1;8;02:05;8;03:40;8;03:40;8;13:55;8;13:55;8;15:10
S002;229;32.0;199.9;8.12;0;0;0;8;05:05;0.08;0.0;0.42;0.5;OUTROS_LIBRA;BERÇO ARM 34;8;05:35;8;06:45;8;06:45;9;23:45;11;00:00;11;00:50
S002;230;38.0;333.33;8.55;0;1;0;8;06:25;3.75;0.0;0.0;3.75;CONCAIS;BERÇO OUT 1;8;10:10;8;11:25;8;11:25;8;22:50;9;00:10;9;01:25
S002;231;32.0;183.0;8.0;0;0;0;8;23:10;0.08;0.0;0.0;0.08;TRANSPETRO;BERÇO AL 02;8;23:15;9;01:05;9;01:05;9;21:05;9;21:35;9;23:05
S002;232;17.0;82.3;5.0;0;0;0;8;21:20;0.08;0.0;0.0;0.08;SAIPEM;BERÇO SAIPEM 1;8;21:25;8;22:15;8;22:15;12;14:45;12;13:35;12;14:05
S002;233;30.0;222.15;10.0;0;0;0;8;04:00;0.08;0.0;0.42;0.5;SANTOSBR;BERÇO TECON 3;8;04:30;8;05:20;8;05:20;8;10:00;8;10:55;8;12:05
