SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;177;48.0;299.95;8.9;0;0;0;4;22:36;25.33;5.67;0.0;31.0;0.0;0.0;0.0;20.666666666666668;7;17:50;8;15:42;BERÇO BTP 3;BTP;BERÇO BTP 3;6;05:40;6;07:25;6;07:25;7;04:05;7;04:05;7;05:30
S012;178;25.0;156.53;7.8;0;0;0;5;03:00;0.0;0.0;0.0;0.0;2.25;0.0;2.25;36.666666666666664;5;07:20;7;09:47;BERÇO AL 04;ULTRACARGO;BERÇO AL 03;5;03:00;5;04:30;5;04:30;6;17:10;6;19:25;6;21:15
S012;179;49.0;299.97;11.0;0;0;0;5;05:00;0.17;0.0;0.42;0.58;0.0;1.58;1.58;22.416666666666668;5;07:48;6;09:24;BERÇO BTP 2;BTP;BERÇO BTP 3;5;05:35;5;07:20;5;07:20;6;05:45;6;07:20;6;08:45
S012;180;29.0;180.0;7.8;0;0;0;5;05:30;0.0;0.0;0.0;0.0;0.0;0.08;0.08;9.166666666666666;5;07:00;5;20:10;BERÇO AL 02;TRANSPETRO;BERÇO AL 02;5;05:30;5;07:00;5;07:00;5;16:10;5;16:15;5;18:05
S012;181;42.0;334.07;10.7;0;0;0;5;07:00;0.0;0.0;0.0;0.0;5.17;0.0;5.17;23.75;5;09:00;6;13:50;BERÇO BTP 3;BTP;BERÇO BTP 2;5;07:00;5;08:25;5;08:25;6;08:10;6;13:20;6;15:05
S012;182;48.0;333.2;11.7;0;0;0;5;08:00;0.0;0.0;0.25;0.25;0.0;0.0;0.0;22.416666666666668;5;09:00;6;12:39;BERÇO TECON 2;SANTOSBR;BERÇO TECON 1.2;5;08:15;5;09:05;5;09:05;6;07:30;6;07:30;6;08:40
S012;183;48.0;328.46;10.7;0;0;0;5;08:42;0.0;0.0;1.83;1.83;0.0;0.0;0.0;31.75;6;13:10;8;01:43;BERÇO BTP 2;BTP;BERÇO BTP 1;5;10:35;5;12:20;5;12:20;6;20:05;6;20:05;6;21:30
S012;184;30.0;208.85;10.3;0;0;0;5;09:54;0.0;1.42;0.0;1.42;0.0;0.0;0.0;13.25;5;22:35;6;17:04;BERÇO DPW 1;DPW - CGC;BERÇO DPW 2;5;11:20;5;12:55;5;12:55;6;02:10;6;02:10;6;03:25
S012;185;32.0;189.99;7.62;0;0;0;5;14:11;0.0;0.0;0.25;0.25;0.0;0.0;0.0;50.833333333333336;5;14:41;7;20:00;BERÇO ARM 31;OUTROS_MACUCO;BERÇO ARM 31;5;14:30;5;15:20;5;15:20;7;18:10;7;18:10;7;19:20
S012;186;42.0;333.99;9.7;0;0;0;5;15:00;82.67;0.0;0.08;82.75;0.0;0.08;0.08;33.25;10;21:45;12;10:16;BERÇO DPW 2;DPW - CGC;BERÇO DPW 1;9;01:45;9;03:00;9;03:00;10;12:15;10;12:20;10;13:55
